Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2001-10-03,SAINT LUCIE 2,100, , , , 
2001-10-03,SEQUOYAH 1,100, , , , 
2001-10-03,SEQUOYAH 2,100, , , , 
2001-10-03,SUMMER 1,100, , , , 
2001-10-03,SURRY 1,86, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-03,SURRY 2,100, , , , 
2001-10-03,TURKEY POINT 3,0,2001-09-29,REFUELING OUTAGE, , 
2001-10-03,TURKEY POINT 4,100, , , , 
2001-10-03,VOGTLE 1,100, , , , 
2001-10-03,VOGTLE 2,100, , , , 
2001-10-03,WATTS BAR 1,100, , , , 
2001-10-03,BRAIDWOOD 1,0,2001-09-21,REFUELING OUTAGE, , 
2001-10-03,BRAIDWOOD 2,96, ,100% OF RATED ELECTRICAL CAPABILITY, , 
2001-10-03,BYRON 1,99, ,100% OF RATED ELECTRICAL CAPABILITY,*, 
2001-10-03,BYRON 2,100, , ,*, 
2001-10-03,CLINTON 1,100, , , , 
2001-10-03,COOK 1,100, , ,*, 
2001-10-03,COOK 2,0,2001-08-30,MAINTENANCE OUTAGE, , 
2001-10-03,DAVIS BESSE 1,100, , , , 
2001-10-03,DRESDEN 2,92, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-03,DRESDEN 3,100, , , , 
2001-10-03,DUANE ARNOLD 1,100, , , , 
2001-10-03,FERMI 2,100, , , , 
2001-10-03,KEWAUNEE 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-03,LASALLE 1,100, , , , 
2001-10-03,LASALLE 2,100, , , , 
2001-10-03,MONTICELLO 1,100, , , , 
2001-10-03,PALISADES 1,0,2001-06-20,MAINTENANCE OUTAGE, , 
2001-10-03,PERRY 1,100, , , , 
2001-10-03,POINT BEACH 1,100, , , , 
2001-10-03,POINT BEACH 2,100, , , , 
2001-10-03,PRAIRIE ISLAND 1,100, , , , 
2001-10-03,PRAIRIE ISLAND 2,100, , , , 
2001-10-03,QUAD CITIES 1,100, , , , 
2001-10-03,QUAD CITIES 2,100, , , , 
2001-10-03,ARKANSAS NUCLEAR 1,100, , , , 
2001-10-03,ARKANSAS NUCLEAR 2,100, , , , 
2001-10-03,CALLAWAY 1,100, , , , 
2001-10-03,COLUMBIA GENERATING,100, , , , 
2001-10-03,COMANCHE PEAK 1,100, , , , 
2001-10-03,COMANCHE PEAK 2,100, , , , 
2001-10-03,COOPER 1,100, , , , 
2001-10-03,DIABLO CANYON 1,100, , , , 
2001-10-03,DIABLO CANYON 2,100, , , , 
2001-10-03,FT CALHOUN 1,100, , , , 
2001-10-03,GRAND GULF 1,100, , , , 
2001-10-03,PALO VERDE 1,99, , , , 
2001-10-03,PALO VERDE 2,99, , , , 
2001-10-03,PALO VERDE 3,0,2001-09-28,REFUELING OUTAGE,*, 
2001-10-03,RIVER BEND 1,0,2001-09-23,REFUELING OUTAGE, , 
2001-10-03,SAN ONOFRE 2,98, , , , 
2001-10-03,SAN ONOFRE 3,100, , , , 
2001-10-03,SOUTH TEXAS 1,0,2001-10-02,REFUELING OUTAGE - RCS COOLDOWN IN PROGRESS,*, 
2001-10-03,SOUTH TEXAS 2,100, , , , 
2001-10-03,WATERFORD 3,100, , , , 
2001-10-03,WOLF CREEK 1,100, , , , 
2001-10-04,BEAVER VALLEY 1,0,2001-08-31,REFUELING OUTAGE, , 
2001-10-04,BEAVER VALLEY 2,100, , , , 
2001-10-04,CALVERT CLIFFS 1,100, , , , 
2001-10-04,CALVERT CLIFFS 2,100, , , , 
2001-10-04,FITZPATRICK 1,100, , , , 
2001-10-04,GINNA 1,100, , , , 
2001-10-04,HOPE CREEK 1,80, ,REDUCED POWER DUE TO SOLAR MAGNETIC DISTURBANCES AFFECTING THE MAIN TRANSFORMER, , 
2001-10-04,INDIAN POINT 2,100, , , , 
2001-10-04,INDIAN POINT 3,100, , , , 
2001-10-04,LIMERICK 1,100, , , , 
2001-10-04,LIMERICK 2,100, , , , 
2001-10-04,MILLSTONE 2,100, , , , 
2001-10-04,MILLSTONE 3,100, , , , 
2001-10-04,NINE MILE POINT 1,100, , , , 
2001-10-04,NINE MILE POINT 2,100, , , , 
2001-10-04,OYSTER CREEK 1,100, , , , 
2001-10-04,PEACH BOTTOM 2,100, , , , 
2001-10-04,PEACH BOTTOM 3,0,2001-09-14,REFUELING OUTAGE - CORE RELOAD IN PROGRESS, , 
2001-10-04,PILGRIM 1,100, , , , 
2001-10-04,SALEM 1,0,2001-09-24,RCS HEATUP IN PROGRESS,*, 
2001-10-04,SALEM 2,100, , , , 
2001-10-04,SEABROOK 1,100, , , , 
2001-10-04,SUSQUEHANNA 1,100, , , , 
2001-10-04,SUSQUEHANNA 2,100, , , , 
2001-10-04,THREE MILE ISLAND 1,89, ,COASTDOWN TO REFUELING OUTAGE, , 
2001-10-04,VERMONT YANKEE 1,100, , , , 
